ASCII Name;Coordinates
`En Boqeq;31.19941,35.36253
El Mazra`a;32.98338,35.09837
Bet Zayit;31.78233,35.16161
Bet She'an;32.49728,35.49632
Drijat;31.30069,35.07632
Maughold;54.29877,-4.31844
Laxey;54.23017,-4.39985
Vijayapuri;11.2453,77.50066
Varca;15.23237,73.94311
Vada;19.65347,73.14811
Upleta;21.74015,70.28256
Udaipur;27.72297,75.47178
Ooty;11.4134,76.69521
Topchanchi;23.90381,86.19792
Tekkali;18.6057,84.23546
Talegaon Dabhade;18.73502,73.67561
Tadepallegudem;16.81467,81.52717
Surianwan;25.46387,82.41922
Sohagi;24.98181,81.69558
Siuri;23.90806,87.52773
Sisauli;29.41386,77.4689
Shimla;31.10442,77.16662
Sikandra Rao;27.68859,78.37985
Shamgarh;24.18817,75.63903
Sham Churasi;31.50028,75.74917
Shahpur;16.69605,76.8422
Shahabad;17.1307,76.94361
Seondha;26.15422,78.7812
Salur;18.51716,83.20548
Lifton;50.64356,-4.28216
Lhanbryde;57.63529,-3.21839
Lerwick;60.15339,-1.14427
Langham;52.69152,-0.75385
Lancaster;54.04649,-2.79988
Kirknewton;55.88754,-3.41898
Kingswood;51.62583,-2.36722
Kilcreggan;55.9846,-4.821
Kibworth Harcourt;52.54439,-0.99491
Keswick;54.59947,-3.13256
Keith;57.53633,-2.94811
Jedburgh;55.47997,-2.552
Ivinghoe;51.83602,-0.62983
Hurstpierpoint;50.93388,-0.18007
Huntly;57.44741,-2.78608
Houghton on the Hill;52.62663,-0.99546
Horsmonden;51.13908,0.42881
Hook;51.36803,-0.3065
Highgate;51.56565,-0.15904
Heage;53.0505,-1.44688
Fyfield;51.41667,-1.78333
Fitzwilliam;53.63288,-1.3769
Fazeley;52.61443,-1.6985
Elstow;52.10727,-0.4649
Ebbw Vale;51.77714,-3.20792
Eastoft;53.63624,-0.78492
East Dean;51.03979,-1.60941
East Calder;55.89186,-3.46372
Dunkeld;56.5655,-3.58559
Droitwich;52.26667,-2.15
Doune;56.18995,-4.05288
Dolgellau;52.74222,-3.88611
Crowle;53.60753,-0.83256
Crondall;51.23285,-0.86329
Cowbridge;51.46028,-3.44167
Corbridge;54.97365,-2.01798
Comber;54.54937,-5.74379
Codicote;51.85052,-0.2367
Clifton;52.0399,-0.30051
Charminster;50.73333,-2.45
Caton;54.07624,-2.71903
Castle Hedingham;51.99015,0.59882
Cardigan;52.08373,-4.66228
Calne;51.43879,-2.00571
Burgh by Sands;54.92181,-3.05671
Buckingham;51.99968,-0.98779
Buckie;57.6757,-2.96238
Bryneglwys;53.01667,-3.28333
Bruton;51.1125,-2.45278
Broxbourne;51.74712,-0.01923
Brighstone;50.64263,-1.39479
Braunton;51.10847,-4.16131
Bramham;53.88118,-1.35452
Bow;50.8,-3.81667
Bovey Tracey;50.59259,-3.67543
Boston;52.97633,-0.02664
Bickley;51.40135,0.04583
Bassingbourn;52.07821,-0.0539
Ballymena;54.86357,-6.27628
Astwick;52.0323,-0.23127
Ashbourne;53.01667,-1.73333
Arundel;50.85423,-0.55393
Alnwick;55.41318,-1.70563
Abernethy;56.33247,-3.31226
Aberford;53.82604,-1.34231
Aber;53.23333,-4.01667
Price Town;51.61832,-3.53662
Crouch End;51.57971,-0.12373
Kilburn;51.55295,-0.19157
Nether Heyford;52.22123,-1.03452
Little Hallingbury;51.83324,0.18151
