ASCII Name;Coordinates
Kolumbug;6.52389,124.60833
Kidapawan;7.00833,125.08944
Kananya;11.1867,124.5601
Kabulohan;8.04333,125.27667
Isulan;6.62944,124.605
Infanta;15.8264,119.9077
Igbon;11.2142,123.1655
Himaya;10.4516,122.8325
Halayhayin;14.1891,121.4075
Giawang;9.7922,124.509
Guindulman;9.7629,124.4878
General Trias;14.38694,120.88167
General Nakar;14.76365,121.63559
Gapan;15.3072,120.9464
Flora;18.2163,121.4185
Espiritu;17.9809,120.6569
Doljo;9.58745,123.73033
Daraga;13.1483,123.7124
Dao;11.3937,122.6856
Cogon;11.4641,122.803
Carranglan;15.9613,121.0641
Caraga;7.32972,126.5675
Canubing No 2;13.35,121.13333
Cantapoy;9.49056,125.43639
Caningay;9.8297,122.6442
Candon;17.19472,120.45167
Cama Juan;15.39223,120.76848
Calabaca;14.3001,122.43364
Cajidiocan;12.36696,122.68141
Cagbang;10.7,122.49889
Cabaluay;7.00139,122.18028
Bulacan;6.5675,125.42111
Bukal;13.8364,121.0939
Borongan;11.60806,125.43194
Bodega;14.9229,120.47982
Binantocan;11.4073,122.8602
Binulasan;14.73159,121.69781
Basey;11.28205,125.06986
Bantogon;6.53333,124.03333
Balanacan;13.5289,121.8677
Baheli;10.01369,118.77294
Bahay Pare;15.03238,120.88083
Badiangan;11.00573,122.50051
Bacungan;9.91056,118.70222
Bacong;9.74056,124.56896
Bacarra;18.2529,120.6125
Bacag;15.93,120.58222
Arayat;15.1505,120.7697
Antipolo;15.6181,121.19
Angad;17.5849,120.6257
Amagbagan;16.0914,120.5232
Amacalan;15.5815,120.6112
Almagro;11.9109,124.2858
Alegria;9.46694,125.57722
Alannay;18.06114,121.58616
Adlaon;10.3,123.9
Abilay;10.73333,122.5
Tolosa;7.03222,122.16139
Monching;7.71583,122.86639
Tiguha;7.70444,123.21139
Lambontong;6.30833,124.81056
Warah;27.44805,67.79654
Swabi;34.12018,72.46982
Shekhupura;31.71287,73.98556
Samaro;25.28143,69.39623
Sahiwal;31.97386,72.33109
Nankana Sahib;31.4501,73.70653
Mardan;34.19794,72.04965
Mamu Kanjan;30.83044,72.79943
Lodhran;29.5339,71.63244
Kamra;33.74698,73.51229
Dera Allahyar;28.37353,68.35078
Hujra Shah Muqim;30.74168,73.82327
Hingorja;27.21088,68.41598
Gahkuch;36.17683,73.76383
Fort Abbas;29.19344,72.85525
Eminabad;32.04237,74.25996
Chak Azam Sahu;30.75202,73.02834
Bandhi;26.58761,68.30215
Bagh;33.98111,73.77608
Dambudas;35.59759,75.22493
Zarzecze;49.98633,22.53716
Zabki;52.29271,21.10539
Wohyn;51.75642,22.78582
Werbkowice;50.75373,23.76411
Szczebrzeszyn;50.69499,22.97954
Susiec;50.41973,23.19626
Stary Sacz;49.56364,20.63496
Starachowice;51.0374,21.07126
Slawno;51.39273,20.14043
Osiedle-Nowiny;50.8177,20.54117
Podleze;50.01458,20.16781
Pionki;51.47604,21.44995
Pawlikowice;49.9531,20.05486
Ostrowek;52.5535,21.76014
Osiek;50.51996,21.44192
Orla;52.70546,23.33213
Nowe Siolo;50.23194,23.15884
Nieborow;52.07771,20.06902
Monki;53.40496,22.79791
Michow;51.52573,22.31435
Lukow;51.929,22.37956
Lubenia;49.93078,21.92665
Lopuszna;49.47281,20.13021
Laczna;51.00231,20.79712
Kortowo;53.75731,20.4562
Klimontow;50.22843,20.3199
Jezowe;50.37486,22.12749
Iwaniska;50.73146,21.2806
Grebkow;52.26931,21.90974
Gozd;51.37832,21.37914
Gnojno;50.60263,20.84913
Debe Wielkie;52.19961,21.44334
Czerwonka;53.91627,20.89685
Czemierniki;51.67298,22.63887
Czarna;50.06717,21.25614
Cmielow;50.89028,21.51426
Chorzele;53.26075,20.89728
Brzeziny;50.77273,20.57319
Branszczyk;52.62931,21.58745
Borzechow;51.09258,22.28414
Blazowa;49.88521,22.10037
Bircza;49.69173,22.47854
Zmigrod;51.46672,16.90564
Zabrzeg;49.91619,18.94292
Wschowa;51.80705,16.31663
Wola Krzysztoporska;51.34418,19.5809
Wola;50.01745,19.12333
Wlosienica;50.01822,19.31671
Wlen;51.01635,15.67474
Wilkow;51.10158,17.66284
Warta;51.71049,18.62483
Ujazd;50.38938,18.34929
Szczawno-Zdroj;50.80352,16.25655
Swiedziebnia;53.15207,19.55463
Swiatniki Gorne;49.93429,19.95364
Sulejow;51.35436,19.88538
Strzeleczki;50.46215,17.85665
Sroda Slaska;51.16406,16.59508
Slupsk;54.46405,17.02872
Sierakow;52.65134,16.08047
Rumia;54.57092,18.38802
Pniewy;52.50943,16.25668
Opatow;50.95567,18.81941
Odolanow;51.57419,17.67434
Linton Military Camp;-40.40309,175.58302
Khasab;26.17993,56.24774
Bidbid;23.40787,58.1283
Sardinilla;9.30311,-79.63616
Sabana Grande;7.83876,-80.36595
Quebrada de Loro;8.35442,-81.91803
Nuevo Arraijan;8.92643,-79.72023
Mogollon;7.64923,-80.45718
Miguel de La Borda;9.15398,-80.30595
Margarita;9.32603,-79.89028
Las Uvas;8.46132,-79.99613
Las Minas;8.6421,-80.40036
Juay;8.2869,-81.94759
El Sesteadero;7.746,-80.25079
El Empalme;9.41468,-82.52244
Ciricito de Los Sotos;8.97582,-80.09253
Chilibre;9.15403,-79.62019
Cerro Punta;8.85217,-82.57363
Caballero;8.54507,-80.19718
Barranco;9.51984,-82.70424
Agua de Salud;8.5105,-81.47423
San Antonio;9.1729,-79.54743
Yorongos;-6.13972,-77.14389
Talara;-4.57722,-81.27194
Sucre;-6.93333,-78.15
Saposoa;-6.93395,-76.77158
Santiago de Chuco;-8.14099,-78.17329
San Ignacio;-5.14583,-79.00139
Pacasmayo;-7.40056,-79.57139
Pacaipampa;-4.99502,-79.66773
Mochumi;-6.54364,-79.86217
Mache;-8.03008,-78.53501
Lluchubamba;-7.52167,-77.97083
Guzmango;-7.38333,-78.9
Frias;-4.92958,-79.94796
Cajamarca;-7.16378,-78.50027
Las Pirias;-5.62718,-78.85353
Urubamba;-13.30472,-72.11583
Supe;-10.7975,-77.71306
San Mateo;-11.75944,-76.30056
Rosaspata;-15.21667,-69.53333
Ocuviri;-15.11304,-70.91174
Mungui;-15.18278,-72.90556
Macachacra;-12.98333,-74.2
Leticia;-11.37972,-75.75389
Ilo;-17.63185,-71.34108
Huasta;-10.12277,-77.1461
Huancarama;-13.64528,-73.08639
Hongos;-12.81139,-75.765
Cupi;-14.9056,-70.86659
Colpas;-10.26889,-76.41417
Colcha;-13.85194,-71.80333
Chontabamba;-10.58333,-75.48333
Camana;-16.62375,-72.71055
Cajacay;-10.15663,-77.44208
Barranca;-10.75,-77.76667
Ayna;-12.65,-73.91667
Achoma;-15.66083,-71.70083
Chuquitira;-17.28891,-70.04363
Jayobamba;-14.09425,-71.33922
Collonce;-6.28252,-78.21092
Quilcas;-11.93581,-75.25959
Tari;-5.845,142.94667
Ambunti;-4.21717,142.81832
Rybnik;50.09713,18.54179
Pruszcz Gdanski;54.26217,18.63625
Polanka Wielka;49.98501,19.32615
Oswiecim;50.03437,19.21037
Osjakow;51.28946,18.79151
Niegowonice;50.38909,19.42263
La Ventosa;16.55188,-94.94762
Las Higueras;20.03693,-96.62199
Sabaneta;18.22325,-95.08082
La Guadalupe;16.68883,-98.26222
San Antonio de la Cal;17.02921,-96.70094
Jalpa;21.10908,-98.71313
Huhi;20.72603,-89.16072
Hueytamalco;19.94029,-97.28848
Huayacocotla;20.53671,-98.4808
Huamuxtitlan;17.80448,-98.56417
Guemez;23.91865,-99.00609
General Bravo;25.79239,-99.18147
Esperanza;18.85853,-97.37641
Dzitya;21.05186,-89.67851
Cuautotola;20.06841,-97.79806
Cuapiaxtla de Madero;18.91544,-97.82382
Cuajinicuilapa;16.47347,-98.41389
Collantes;16.1881,-97.97184
Concepcion Capulac (La Ex-Hacienda);19.09444,-98.06139
Colipa;19.92323,-96.72713
Coatepec;18.66754,-98.55987
Cintalapa de Figueroa;16.68393,-93.71814
Chontla;21.2958,-97.92419
Chochola;20.75087,-89.83041
Chiltoyac;19.57708,-96.8666
Chiapa de Corzo;16.7077,-93.01184
Chan Cenote;20.99142,-87.78564
Calpulalpan;19.58867,-98.56972
Aquixtla;19.79582,-97.93553
Antiguo Morelos;22.5495,-99.08123
Jaltenango de la Paz;15.87314,-92.72437
Santa Maria Amajac;20.32476,-98.74365
Alfajayucan;20.40808,-99.34895
Agustin de Iturbide;15.07523,-92.19858
San Miguel Tecomatlan;18.97833,-99.52861
Flor Batavia;17.98475,-96.5188
San Francisco Loxicha;15.90658,-96.61295
Santiago Huaxolotipac;16.97383,-97.0861
San Mateo Etlatongo;17.41609,-97.27389
San Miguel Tlacotepec;17.45621,-98.00547
Cosoltepec;18.14255,-97.79084
San Andres Hidalgo;18.13734,-96.80604
Santa Ana Zegache;16.83706,-96.72948
El Coyul;15.91472,-95.81028
Occidente 4ta. Seccion;18.30347,-93.23388
Amado Gomez;18.14684,-93.35618
Nicolas Bravo;18.15504,-93.08304
Xiquila;21.07803,-98.44315
San Francisco;21.01819,-98.48699
El Huixmi;20.07569,-98.81972
Nuevo Centro de Poblacion Agricola el Chacon;20.07028,-98.73944
Santa Barbara;19.66666,-98.5692
Zumpango;19.5577,-98.22407
Abcoven;51.5275,5.08333
Abbekerk;52.73167,5.01806
Aalden;52.79,6.71806
Matendreef;52.19993,5.98592
Woudhuis;52.21323,6.01124
Speelheide;51.50607,5.40519
Sterrenberg;51.9935,5.88387
Tonstad;58.66263,6.71694
Tjome;59.1109,10.3933
Rubbestadneset;59.81559,5.26822
Nordfjordeid;61.9122,5.98557
Naustdal;61.51108,5.71694
Namsskogan;64.92886,13.15954
Myra;58.74921,8.86254
Moi;58.45674,6.55184
Kopervik;59.28354,5.30669
Hamar;60.7945,11.06798
Gjerstad;58.88083,9.01861
Fetsund;59.92463,11.15711
Kirkebygda;59.4921,10.87432
Lampeland;59.83486,9.57912
Revetal;59.3724,10.26308
Straume;60.36131,5.12199
Jumla;29.27472,82.18383
Dailekh;28.84434,81.71011
Birendranagar;28.59669,81.61658
Surkhet;28.51746,81.7787
Tinwald;-43.91667,171.71667
Prebbleton;-43.58333,172.51667
Portobello;-45.85,170.65
Otatara;-46.43333,168.3
Oropi;-37.83948,176.16105
Mangere;-36.96807,174.79875
Kerikeri;-35.22676,173.94739
Murrays Bay;-36.72819,174.75019
Mieroszow;50.66589,16.18883
Lysomice;53.08629,18.62002
Lanieta;52.36203,19.28032
Laczany;49.98407,19.57867
Kukow;49.73252,19.48485
Koscian;52.08829,16.64866
Konin;52.22338,18.25121
Koczala;53.90449,17.06529
Kleszczow;51.22355,19.30418
Jelenia Gora;50.89973,15.72899
Henrykow;50.65327,17.01027
Gromadka;51.36063,15.76452
Grabow;52.12717,19.00257
Jose Maria Morelos;19.46571,-98.1587
Tlaxcala;19.31905,-98.19982
San Rafael Tenanyecac;19.24786,-98.37121
Villa Alta;19.29263,-98.4011
Nuevo Nicapa;17.63464,-93.07238
Las Maravillas;16.95951,-93.32012
Tziscao;16.08155,-91.66641
Rafael Ramirez;16.46199,-91.94523
Benito Juarez;16.0429,-92.81865
Emiliano Zapata;16.1623,-93.26175
Lazaro Cardenas;16.28815,-93.97752
Texcapilla;18.94574,-99.89535
Chalchihuapan;18.97694,-99.57472
San Andres Metla;19.21695,-98.84167
San Bernardo Tlalmimilolpan;19.56179,-98.79288
Santiago Tolman;19.72781,-98.79011
Xalacapan de Lucke;19.90403,-97.59047
Chapulco;18.62586,-97.40474
Gubakha;58.83862,57.55325
Germenchik;43.59389,43.76611
Etoka;43.91944,43.04833
Elektrogorsk;55.88431,38.7864
Domodedovo;55.4413,37.75367
Dobroye;52.8678,39.8109
Dmitriyevka;54.75,55.33333
Chusovoy;58.3013,57.8131
Chernukha;55.59739,43.7556
Chernomorskiy;44.85056,38.49361
Chermen;43.15186,44.71231
Cherkessk;44.22333,42.05778
Chaykovskiy;56.76864,54.11484
Bol'shoye Selo;57.71774,38.93341
Bol'shoye Kozino;56.40397,43.71424
Bokovskaya;49.22899,41.8306
Belyy;55.8402,32.9419
Bakal;54.9417,58.8083
Avtury;43.16345,46.00152
Arzamas;55.39485,43.83992
Andreyevka;55.98028,37.135
Aksay;43.37254,46.44497
Adamovka;51.5223,59.9396
Gedzhukh;42.12786,48.06474
Rabocheostrovsk;64.98507,34.77587
Privolzhskiy;55.96135,48.41512
Novyy Sulak;43.18126,46.8263
Yushala;57.07611,64.26011
Yeniseysk;58.44937,92.17968
Volchansk;59.9378,60.081
Ubinskoye;55.30675,79.68016
Turinsk;58.04575,63.69605
Tashtagol;52.7657,87.8894
Tashara;55.5195,83.5094
Staropyshminsk;56.93867,60.90295
Sosnovoborsk;56.1217,93.3385
Shul'gin Log;52.16985,85.85573
Sayansk;54.15,91.885
Russkaya Polyana;53.77944,73.88056
Predivinsk;57.0631,93.4374
Novoaltaysk;53.3917,83.9363
Nefteyugansk;61.09979,72.60349
Moshkovo;55.3053,83.6104
Kuzedeyevo;53.3308,87.2019
Kuminskiy;58.66667,66.56667
Krasnoye;54.6068,85.3899
Kiselevsk;53.99,86.6621
Kazachinskoye;57.7004,93.2809
Kataysk;56.289,62.5841
Karatuzskoye;53.60722,92.86667
Izumrud;57.07881,61.39932
Ishim;56.11281,69.49015
Beloyarskiy;63.71194,66.67222
Bagan;54.10014,77.66462
Aksarka;66.56056,67.7975
Aginskoye;55.2586,94.9079
Abatskoye;56.28748,70.45553
Seversk;56.60056,84.88639
Zavitinsk;50.11118,129.44156
Vyazemskiy;47.53757,134.75556
Vikhorevka;56.12128,101.17767
Vanavara;60.34679,102.28434
Urusha;54.05303,122.88561
Terney;45.05278,136.60881
Shestakovo;56.4915,103.96
Shamanka;52.07235,103.82434
Romanovka;43.23294,132.45714
Mnogoudobnoye;43.46802,132.46675
Kokuy;52.20634,117.55412
Kangalassy;62.34824,129.96471
Kurilovo;55.37271,37.37703
Severomorsk-3;68.87862,33.72631
Tarut;26.5733,50.04028
Misliyah;17.45988,42.5572
Julayjilah;25.5,49.6
Qaisumah;28.31117,46.12729
Tumayr;25.70347,45.86835
Kirakira;-10.45442,161.92045
Anse Boileau;-4.71667,55.48333
Kuraymah;18.55,31.85
Atbara;17.70217,33.98638
Al Taif;15.5662,32.5708
Umea;63.82842,20.25972
Roknaes;65.35,21.2
Gaellivare;67.13387,20.65278
Byske;64.95258,21.2058
Vrigstad;57.35,14.46667
Vislanda;56.78333,14.45
Torslanda;57.72432,11.77013
Sturkoe;56.08333,15.7
Stenungsund;58.07046,11.8181
Stenkullen;57.79476,12.31688
Solleftea;63.16667,17.26667
Sodra Sandby;56.56667,16.61667
Soederhamn;61.30373,17.05921
Smygehamn;55.34337,13.36989
Skegrie;55.40633,13.07693
OEsthammar;60.25909,18.37408
OEnnestad;56.05747,14.02233
Nordmaling;63.56852,19.50244
Nacka;59.31053,18.16372
Ljungskile;58.22452,11.92014
Lindholmen;59.58333,18.1
Hoekoepinge;55.49411,13.00782
Halmstad;56.67446,12.85676
Fjaeras kyrkby;57.45913,12.17508
Fittja;59.24868,17.85991
Enkoeping;59.63607,17.07768
Ed;58.91247,11.93308
Aneby;57.83895,14.81016
Andalen;57.70039,11.76136
Akalla;59.41465,17.91398
Selnica ob Muri;46.68333,15.7
Oplotnica;46.38778,15.44667
Mojstrana;46.42383,13.8752
Metlika;45.64722,15.31417
Legen;46.50651,15.14424
Radizel;46.47444,15.65583
Kavecany;48.77592,21.20587
Vrable;48.24371,18.30846
Senec;48.21951,17.40043
Liptovsky Mikulas;49.08061,19.62218
Hrinova;48.57787,19.52574
Filakovo;48.26757,19.82473
Pepel;8.58611,-13.05444
Masaka;8.66492,-11.8026
Koidu;8.64387,-10.9714
Pujehun;7.35806,-11.72083
Tambacounda;13.77073,-13.66734
Trindade;0.29667,6.68139
Nueva Esparta;13.78361,-87.83861
Moncagua;13.53333,-88.25
Delgado;13.72171,-89.16874
Concepcion de Ataco;13.87028,-89.84861
Shin;34.77863,36.42366
Ar Riqama;34.53879,36.91909
Manbij;36.52815,37.95495
Malah;32.5068,36.85377
Al Ma`batli;36.56246,36.74292
Khanasir;35.78159,37.49919
Harbinafsah;34.93745,36.62243
As Si`in;35.26375,37.37402
`Afrin;36.51194,36.86954
Abu az Zuhur;35.74058,37.0448
Tshaneni;-25.98333,31.71667
Vogan;6.33333,1.53333
Niamtougou;9.76806,1.10528
U Thong;14.37514,99.89225
Umphang;16.01622,98.8627
Si Sawat;14.59922,99.11406
Si Satchanalai;17.51692,99.75978
Sawang Arom;15.58394,99.86089
Lampang;18.29232,99.49277
Nong Prue;14.60784,99.45783
Noen Kham;14.9501,99.93899
Phayu;14.90851,104.39101
Nong Hin;17.12356,101.85789
Watthana Nakhon;13.74462,102.31863
Wang Noi;14.22689,100.7155
Tron;17.48181,100.11281
Tha Yang;12.95772,99.90555
Tha Pla;17.79112,100.37611
Si Sa Ket;15.11481,104.32938
Rayong;12.68095,101.25798
Non Sa-at;16.97914,102.89369
Nong Chok;13.85585,100.86216
Khun Han;14.61739,104.42506
Khu Khan;14.71358,104.19836
Kaset Wisai;15.65558,103.58361
Kanthararom;15.10323,104.57343
Krong Pi Nang;6.4112,101.27394
Chiang Saen;20.27511,100.08689
Ban Selaphum;16.01667,103.95
Ban Khai;12.78261,101.29639
Chamni;14.78629,102.82277
Lue Amnat;15.69476,104.64846
Mae Fa Luang;20.26628,99.79846
Mae Lao;19.79003,99.69967
Ratsada;7.97467,99.63353
Sap Yai;15.63739,101.61671
Sa Khrai;17.67544,102.75069
Bua Lai;15.66548,102.49881
Hisor;38.52504,68.55124
Fale old settlement;-9.38516,-171.24675
Tamaghzah;34.38849,7.94313
Menzel Jemil;37.23618,9.91448
Mellouleche;35.16617,11.03504
Zarzis;33.50398,11.11215
Douz;33.46632,9.0203
El Kef;36.17424,8.70486
Pangai;-19.81468,-174.35423
Nuku'alofa;-21.13938,-175.2018
Yalangoz;36.5768,36.50766
Talas;38.6908,35.5538
Silopi;37.24379,42.46345
Silifke;36.37778,33.93444
Sarioglan;39.07694,35.96671
Sagkaya;37.17852,35.68843
Reis;38.27139,31.57139
Ovakisla;38.81733,42.31643
Ortakoy;37.32783,43.28061
Oncul;36.71222,39.02917
Oguz;39.5059,38.88369
Nusaybin;37.07028,41.21465
Nevsehir;38.625,34.71222
Mut;36.64389,33.43885
Malatya;38.35018,38.31667
Korkut;38.7339,41.78396
Kemalpasa;38.42621,27.41731
Keban;38.7938,38.73517
Kayadibi;39.47993,36.71245
Karayazi;39.69604,42.14277
Kale;39.03333,38.0
Kale;37.43917,28.84528
Kadisehri;39.99568,35.79193
Ilica;39.87583,27.77639
Hazro;38.24903,40.77129
Guzelbag;36.73363,31.89837
Yenisu;38.75201,40.87571
Gulecler;37.95333,42.53861
Girmeli;37.11106,41.4196
Gerger;37.95,39.01667
Gebiz;37.10417,30.93778
Erzincan;39.73919,39.49015
Elvanli;36.70401,34.37374
Diyadin;39.54056,43.67135
Danisment;39.86917,27.63306
Cayiralan;39.30278,35.64389
Buharkent;37.96397,28.7427
Bozuyuk;39.90778,30.03667
Beylikova;39.68694,31.20556
Baglica;37.52705,40.68618
Ayranci;37.36127,33.6883
Aslanapa;39.21581,29.8699
Antakya;36.20655,36.15722
Hacipasa;36.06907,36.37076
Samankaya;36.15027,36.12829
Topcam;40.61658,37.77057
Susuz;40.7791,43.12769
Sogutpinar;40.33787,28.64945
Senkaya;40.55652,42.34266
Salpazari;40.93826,39.19006
Persembe;41.06556,37.77139
Pehlivankoy;41.34812,26.92522
Pazarkoy;40.92555,32.1807
Ortakoy;40.27352,35.25175
Mimarsinan;41.0179,28.56176
Mecidiye;40.63889,26.53917
Kumbag;40.88236,27.45919
Kibriscik;40.40778,31.85194
Kaytazdere;40.68225,29.53236
Beycuma;41.32812,31.96811
Karaurgan;40.23964,42.27283
Kagizman;40.15669,43.13424
Ikizoren;40.68833,33.88333
Nurluca;41.03272,40.9082
Gurgentepe;40.78567,37.58969
Goelcuek;40.71501,29.81824
Gokcebey;41.30583,32.14234
Egerci;41.09922,31.81739
Eflani;41.42289,32.95761
Dogansar;40.20841,37.53123
Dogankent;40.8075,38.91722
Cubuk;40.23861,33.03222
Camlidere;40.48958,32.47499
Buyukcekmece;41.01284,28.53824
Bugdayli;40.21889,27.77056
Boyalica;40.48194,29.56083
Bayat;40.64583,34.26139
Ayancik;41.94472,34.58611
Sancaktepe;41.00244,29.23187
Karabaglar;38.37396,27.1352
Cumayeri;40.87389,30.95091
Ilkadim;41.28732,36.29046
Kepez;36.91579,30.70782
Chaguanas;10.51667,-61.41667
Funafuti;-8.52425,179.19417
Savave Village;-8.02731,178.31351
Taoyuan;24.9896,121.3187
Zhongxing New Village;23.95908,120.68516
Usagara;-2.68333,33.0
Pangani;-5.42526,38.97473
Matonga;-2.38333,34.08333
Kisesa;-3.08333,34.15
Kimamba;-6.78333,37.13333
Ilongero;-4.66667,34.86667
Geita;-2.8725,32.2325
Arusha;-3.36667,36.68333
Matiri;-10.75,34.9
Kigonsera;-10.8,35.05
Zastavna;48.52137,25.8426
Yevpatoriya;45.20091,33.36655
Yasinya;48.2726,24.36029
Yamnytsia;48.98605,24.70957
Vradiyivka;47.86425,30.58881
Voznesenka;46.86884,35.463
Volodarka;49.52542,29.91023
Verbivka;49.41667,35.53333
Ustynivka;47.95619,32.53938
Trykhaty;47.13985,31.82077
Tryduby;48.07558,30.41274
Staryi Saltiv;50.07619,36.78852
Starobesheve;47.75038,38.03051
Sokolinoye;44.55041,33.95897
Snihurivka;47.07651,32.8197
Smoline;48.60127,31.31292
Serbka;47.00502,30.76252
Semypolky;50.72627,30.93441
Rzhavyntsi;48.50659,26.07725
Rozivka;47.3954,37.07078
Roskoshnoye;45.65187,34.11552
Rivne;50.62308,26.22743
Prostornoye;45.65597,34.69837
Pryvilne;47.49339,32.29702
Prylymanske;46.42369,30.61446
Prykolotne;50.16273,37.34524
Preobrazhenka;47.57194,35.81667
Pokrovka;47.35326,31.52365
Pidvolochysk;49.53131,26.14401
Pidhorodna;48.10846,30.88939
Petranka;48.90526,24.30618
Oshykhliby;48.42337,25.70484
Orikhivka;45.80679,28.90336
Ochakiv;46.61472,31.54505
Novyi Starodub;48.5149,33.17133
Novosvitlivka;47.19985,31.18437
Novoselivka;47.64773,29.61372
Mamayvtsi;48.34722,25.8275
Novomoskovsk;48.62893,35.2589
Novoborysivka;47.10299,29.99224
Nyzhni Stanivtsi;48.32055,25.56948
Mykolaivka;47.75293,32.84704
Moshny;49.52754,31.73708
Molodiia;48.22287,26.02345
Milove;49.37609,40.14071
Zhuravlyovka;45.1768,33.9968
Marynivka;47.77597,30.88745
Maniava;48.65485,24.37096
Malorechenskoye;44.75888,34.55789
Lviv;49.83826,24.02324
Luchistoye;44.73646,34.40063
Lisne;46.46771,29.34994
Mariia;48.42944,39.14556
Kyiv;50.45466,30.5238
Kuteinykove;47.81227,38.28822
Kulynychi;49.98178,36.38283
Lyman;48.98616,37.80307
Krymskaya Roza;45.05776,34.35631
Kozyrka;46.81038,31.88014
Kozelshchyna;49.21731,33.84888
Kostyantynivka;47.83063,31.15155
Kostiantynivka;46.81778,35.42424
Kal'mius'ke;47.6639,38.07753
Kol'tsovo;45.32807,33.44992
Kyryakivka;47.05664,31.85076
Dziadowa Kloda;51.23543,17.70919
Dobrzyca;51.86663,17.60336
Dobrzen Wielki;50.76844,17.84652
Dobiegniew;52.96947,15.75362
Dabrowa Zielona;50.84394,19.55652
Czastary;51.25869,18.31953
Czarnocin;51.59142,19.68158
Brzozie;53.32554,19.60485
Boleszkowice;52.72493,14.56901
Bobrowo;53.28549,19.27053
Blizanow;51.90372,18.01003
Belk;50.13048,18.71667
Baranow;51.26342,18.0047
Praga Poludnie;52.24424,21.08545
Zalesie;50.01226,22.53262
Rejon ulicy Borowskiej-Poludnie;51.0766,17.02582
Miquelon;47.0975,-56.38139
El Ojo;18.00385,-66.39156
Guanica;17.97163,-66.90795
Luis M. Cintron;18.29968,-65.63849
Maunabo;18.00719,-65.89933
Ponce;18.01031,-66.62398
San Sebastian;18.33662,-66.99018
Santa Barbara;18.39356,-65.91878
Vazquez;18.0658,-66.2385
Shukat as Sufi;31.25997,34.2826
Zawata;32.24611,35.2265
Alei Zahav;32.07213,35.06327
Tulkarm;32.31156,35.0269
Sinjil;32.03334,35.26545
Majdal Bani Fadil;32.08357,35.36378
Khirbat Abu Falah;32.01678,35.30135
Kefar Adummim;31.82614,35.33558
Kafr Thulth;32.1533,35.04698
Jalqamus;32.42464,35.36421
Dayr al Hatab;32.21734,35.32127
Burqah;32.30177,35.19263
Bidya;32.1146,35.08028
Bayt Lid;32.26089,35.13169
Bayt Iba;32.23719,35.20977
Bayt Ula;31.59618,35.0296
`Attil;32.36935,35.07189
'Almon;31.83193,35.29687
Al Lubban al Gharbi;32.03504,35.03928
Juhr ad Dik;31.45571,34.43719
Tramagal;39.45,-8.25
Silves;37.18921,-8.43822
Serta;39.80205,-8.09589
Odivelas;38.79269,-9.1838
Montalvinho;39.48333,-8.3
Marinhais;39.0473,-8.70236
Laranjeiro;37.06799,-7.8078
Cuba;38.16544,-7.8924
Cercal;37.80129,-8.674
Canhas;32.69465,-17.09867
Beato Antonio;38.73327,-9.10335
Barcarena;38.73245,-9.28
Aldeia de Paio Pires;38.61667,-9.08333
Alagoa;39.36125,-7.53894
Vinhais;41.83509,-7.00501
Tavarede;40.16692,-8.84568
Tabuaco;41.11615,-7.56793
Silvalde;40.99205,-8.62567
Selho;41.41938,-8.34599
Sao Miguel do Couto;41.33167,-8.46185
Sao Joao de Areias;40.38722,-8.06783
Sande;41.7019,-8.39246
Meadela;41.70654,-8.79628
Madalena;41.21616,-8.33451
Lamas;40.98597,-8.56923
Gondizalves;41.54158,-8.4557
Foz do Douro;41.15119,-8.67125
Baltar;41.19272,-8.38768
Koror;7.33978,134.47326
Ypacarai;-25.40777,-57.28889
Puerto Rosario;-24.44127,-57.14272
Natalicio Talavera;-25.65378,-56.30933
Edelira;-26.76734,-55.27872
Caaguazu;-25.47104,-56.01603
Saint-Pierre;-21.3393,55.47811
Zvoristea;47.83333,26.28333
Zapodeni;46.75,27.65
Voicesti;44.6,24.28333
Vizuresti;44.6404,25.8074
Vintileasca;45.6,26.73333
Vanatori;47.3598,26.76423
Viile;44.162,27.75769
Vestem;45.71752,24.23958
Varbilau;45.18333,25.95
Varasti;44.21244,26.97188
Valeni;46.74733,27.7596
Vadastrita;43.85,24.33333
Vaculesti;47.88333,26.41667
Uzunu;44.14716,25.96719
Ucea de Jos;45.7841,24.67097
Tutora;47.13333,27.78333
Trei Sate;46.47572,24.89855
Tomesti;47.11667,27.68333
Tarsoltel;47.95,23.35
Targu Trotus;46.26667,26.66667
Targu-Mures;46.54245,24.55747
Tibanesti;46.91667,27.33333
Teliucu Inferior;45.71667,22.88333
Telciu;47.43333,24.4
Supuru de Jos;47.46667,22.8
Suncuius;46.93333,22.53333
Subcetate;46.85,25.45
Strateni;47.93677,26.29664
Stoenesti;44.11667,24.5
Sotanga;44.98333,25.36667
Somcuta Mare;47.51667,23.46667
Simleu Silvaniei;47.23333,22.8
Segarcea;44.1,23.75
Scortoasa;45.36403,26.66116
Saraiu;44.71667,28.15
Sarafinesti;47.61708,26.6074
Salsig;47.53333,23.3
Sageata;45.1,26.98333
Sacu;45.56667,22.11667
Ruja;46.01175,24.65048
Ruginesti;46.06667,27.11667
Rosia;46.8,22.4
Rau de Mori;45.48333,22.85
Rebrisoara;47.28333,24.45
Razboieni;47.21754,27.05039
Radoiesti-Deal;44.15,25.13333
Radeni;47.1426,26.53703
Popesti;44.86076,25.99557
Poloboc;46.76109,26.54975
Poiana Codrului;47.62667,23.25056
